name,type,capacity,details,address,imageUrl,budget
Rustic Outdoor Garden 37,Outdoor Garden,500(Five Hundred),Outdoor Garden with premium amenities and custom decor options.,"Borivali, Mumbai, Maharashtra",https://images.unsplash.com/photo-1743507295622-87dd9811fe78?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Oceanview Banquet Hall 38,Banquet Hall,400(Four Hundred),Banquet Hall with premium amenities and custom decor options.,"Borivali, Mumbai, Maharashtra",https://images.unsplash.com/photo-1743507295622-87dd9811fe78?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Crystal Outdoor Garden 39,Outdoor Garden,200(Two Hundred),Outdoor Garden with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://images.unsplash.com/photo-1743507295622-87dd9811fe78?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5Lakhs(500000)
Crystal Terrace Venue 40,Terrace Venue,500(Five Hundred),Terrace Venue with premium amenities and custom decor options.,"Borivali, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Royal Terrace Venue 41,Terrace Venue,100(One Hundred),Terrace Venue with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,15Lakhs(1500000)
Rustic Banquet Hall 42,Banquet Hall,250(Two Hundred and Fifty),Banquet Hall with premium amenities and custom decor options.,"Thane, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Crystal Terrace Venue 43,Terrace Venue,400(Four Hundred),Terrace Venue with premium amenities and custom decor options.,"Lower Parel, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Crystal Banquet Hall 44,Banquet Hall,350(Three Hundred and Fifty),Banquet Hall with premium amenities and custom decor options.,"Santacruz, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10Lakhs(1000000)
Grand Lawn 45,Lawn,500(Five Hundred),Lawn with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
Crystal Lawn 46,Lawn,300(Three Hundred),Lawn with premium amenities and custom decor options.,"Vile Parle, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Sunset Terrace Venue 47,Terrace Venue,150(One Hundred and Fifty),Terrace Venue with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://plus.unsplash.com/premium_photo-1671815629087-33f1d65ad68e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,15Lakhs(1500000)
Rustic Lawn 48,Lawn,450(Four Hundred and Fifty),Lawn with premium amenities and custom decor options.,"Worli, Mumbai, Maharashtra",https://images.unsplash.com/photo-1743507295622-87dd9811fe78?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Greenfield Lawn 49,Lawn,500(Five Hundred),Lawn with premium amenities and custom decor options.,"Navi Mumbai, Maharashtra",https://images.unsplash.com/photo-1743507295622-87dd9811fe78?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2Lakhs(200000)
Sunset Lawn 50,Lawn,500(Five Hundred),Lawn with premium amenities and custom decor options.,"Navi Mumbai, Maharashtra",https://images.unsplash.com/photo-1743507295622-87dd9811fe78?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,20Lakhs(2000000)
